"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidepressant"
"67127"	"Amitriptyline 25mg/5ml oral solution sugar free (DE Pharmaceuticals)"	"Amitriptyline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"67259"	"Paroxetine 10mg/5ml oral solution"	"Paroxetine"	"2mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Paroxetine"
"67271"	"Efexor 37.5mg tablets (Waymade Healthcare Plc)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"67272"	"Zispin 30mg tablets (Waymade Healthcare Plc)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"67288"	"Efexor 75mg tablets (Dowelhurst Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"67305"	"Moclobemide 150mg tablets (Sigma Pharmaceuticals Plc)"	"Moclobemide"	"150mg"	"Tablet"	"Oral"	"04030201"	"Moclobemide"
"67431"	"Fluoxetine 10mg capsules"	"Fluoxetine"	"10mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"67496"	"Fluoxetine 30mg capsules"	"Fluoxetine"	"30mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"67562"	"Fluoxetine 40mg capsules"	"Fluoxetine"	"40mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"67563"	"Vensir XL 225mg capsules (Morningside Healthcare Ltd)"	"Venlafaxine"	"225mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"67564"	"Duloxetine 20mg gastro-resistant capsules (Actavis UK Ltd)"	"Duloxetine"	"20mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"67728"	"Dosulepin 75mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"67730"	"Sertraline 50mg tablets (Ranbaxy (UK) Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"67736"	"Fluoxetine 20mg capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"67742"	"Lofepramine 70mg tablets (Mylan)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"67757"	"Nefazodone 50mg tablets"	"Nefazodone"	"50mg"	"Tablet"	"Oral"	"00000000"	"Nefazodone"
"67758"	"Prozac 20mg capsules (DE Pharmaceuticals)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"67769"	"Fluoxetine 20mg capsules (Strides Shasun (UK) Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"67874"	"Brintellix 10mg tablets (Lundbeck Ltd)"	"Vortioxetine"	"10mg"	"Tablet"	"Oral"	"04030400"	"Vortioxetine"
"67888"	"Fluoxetine 60mg capsules (Kent Pharmaceuticals Ltd)"	"Fluoxetine"	"60mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"67928"	"Sertraline 100mg tablets (Milpharm Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"67935"	"Imipramine 10mg tablets (Almus Pharmaceuticals Ltd)"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"67990"	"Prothiaden 25mg capsules (Sigma Pharmaceuticals Plc)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"68026"	"Nutriflex basal infusion 1litre bags (B.Braun Medical Ltd)"	"Tryptophan"	"3.6mmol/1litre + 5.7mmol/1litre + 50mmol/1litre + 12.8mmol/1litre + 35mmol/1litre + 1.56gram/1litre + 1.88gram/1litre + 2.5gram/1litre + 1.82gram/1litre + 2.81gram/1litre + 1.45gram/1litre + .46gram/1litre + 2.08gram/1litre + 2.16gram/1litre + 1gram/1litre + 3.88gram/1litre + 1.2gram/1litre + 2.8gram/1litre + 1.32gram/1litre + 2.72gram/1litre + 2.4gram/1litre + 125gram/1litre + .42gram/1litre + 49.9mmol/1litre + 30mmol/1litre"	"Infusion"	"Intravenous"	"09030000"	"Tryptophan"
"68050"	"Venlafaxine 37.5mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"68052"	"Mirtazapine 30mg orodispersible tablets (Almus Pharmaceuticals Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"68096"	"Duloxetine 60mg gastro-resistant capsules (Zentiva)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"68228"	"Nortriptyline 10mg/5ml oral suspension"	"Nortriptyline"	"2mg/1ml"	"Oral suspension"	"Oral"	"04030100/07040251"	"Nortriptyline"
"68266"	"Fluoxetine 20mg/5ml oral solution sugar free (Actavis UK Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"68325"	"Paroxetine 40mg tablets"	"Paroxetine"	"40mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"68544"	"Mirtazapine 2mg capsules"	"Mirtazapine"	"2mg"	"Capsule"	"Oral"	"04030400"	"Mirtazapine"
"68657"	"Lofepramine 70mg tablets (Kent Pharmaceuticals Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"68665"	"Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd)"	"Clomipramine"	"10mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"68680"	"Mirtazapine 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"68756"	"Sertraline 100mg tablets (Sandoz Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"68876"	"Venlafaxine 75mg modified-release capsules (Mawdsley-Brooks & Company Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"68933"	"Mirtazapine 30mg tablets (PLIVA Pharma Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"69005"	"Mirtazapine 30mg tablets (Almus Pharmaceuticals Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"69317"	"Nortriptyline 50mg tablets"	"Nortriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"69355"	"Trazodone Oral solution"	"Trazodone"	NA	"Oral Solution"	"Oral"	"04030100"	"Trazodone"
"69420"	"Mirtazapine 30mg orodispersible tablets (Aurobindo Pharma Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"69428"	"Duloxetine 60mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"69525"	"Fluoxetine 20mg capsules (Medreich Plc)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"69542"	"Prozac 20mg capsules (Necessity Supplies Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"69571"	"Citalopram 40mg tablets (Accord Healthcare Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"69685"	"Fluoxetine 20mg/5ml oral solution sugar free (Morningside Healthcare Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"69712"	"Amitriptyline 50mg tablets (Sigma Pharmaceuticals Plc)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"69725"	"Sertraline 50mg tablets (Crescent Pharma Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"69726"	"Sertraline 100mg tablets (Crescent Pharma Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"69752"	"Duloxetine 60mg gastro-resistant capsules (Creo Pharma Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"69819"	"Vencarm XL 37.5mg capsules (Aspire Pharma Ltd)"	"Venlafaxine"	"37.5mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"69898"	"Sertraline 50mg tablets (Sandoz Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"69941"	"Fluoxetine 10mg capsules (A A H Pharmaceuticals Ltd)"	"Fluoxetine"	"10mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"69965"	"Duloxetine 60mg gastro-resistant capsules (Consilient Health Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"69991"	"Brintellix 20mg tablets (Lundbeck Ltd)"	"Vortioxetine"	"20mg"	"Tablet"	"Oral"	"04030400"	"Vortioxetine"
"69992"	"Brintellix 5mg tablets (Lundbeck Ltd)"	"Vortioxetine"	"5mg"	"Tablet"	"Oral"	"04030400"	"Vortioxetine"
"70063"	"Duloxetine 20mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Duloxetine"	"20mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"70287"	"Imipramine 10mg tablets (Sigma Pharmaceuticals Plc)"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"70300"	"Amitriptyline 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Amitriptyline"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"70315"	"Vencarm XL 75mg capsules (Aspire Pharma Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"70353"	"Venlafaxine 37.5mg tablets (DE Pharmaceuticals)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"70405"	"Duloxetine 30mg gastro-resistant capsules (Teva UK Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"70420"	"Vencarm XL 150mg capsules (Aspire Pharma Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"70495"	"Vencarm XL 225mg capsules (Aspire Pharma Ltd)"	"Venlafaxine"	"225mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"70521"	"Trazodone 50mg/5ml oral solution sugar free (AMCo)"	"Trazodone"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"70593"	"Dosulepin 25mg/5ml oral suspension"	"Dosulepin"	"5mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Dosulepin"
"70728"	"Duloxetine 30mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"70790"	"Citalopram 40mg tablets (Aurobindo Pharma Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"70806"	"Venlafaxine 150mg modified-release capsules (DE Pharmaceuticals)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"70838"	"Dosulepin 25mg Capsule (Celltech Pharma Europe Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"70931"	"Venlasov XL 75mg capsules (Sovereign Medical Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"70991"	"Amitriptyline 10mg tablets (Arrow Generics Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"71005"	"Citalopram 10mg tablets (DE Pharmaceuticals)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"71023"	"Dosulepin 25mg/5ml oral solution sugar free (Special Order)"	"Dosulepin"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Dosulepin"
"71031"	"Trazodone 50mg capsules (Actavis UK Ltd)"	"Trazodone"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"71042"	"Amitriptyline 25mg tablets (Arrow Generics Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"71059"	"Dosulepin 75mg tablets (Sovereign Medical Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"71067"	"Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"00000000"	"Lofepramine"
"71253"	"Imipramine 10mg tablets (DE Pharmaceuticals)"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"71257"	"Venlafaxine 75mg modified-release capsules (DE Pharmaceuticals)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"71543"	"Mirtazapine 30mg tablets (Sigma Pharmaceuticals Plc)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"71669"	"Duloxetine 20mg gastro-resistant capsules (Zentiva)"	"Duloxetine"	"20mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"71782"	"Venlafaxine 150mg modified-release capsules (Mawdsley-Brooks & Company Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"71806"	"Amphero XL 75mg capsules (Mylan)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"71848"	"Citalopram 20mg/5ml oral suspension"	"Citalopram"	"4mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Citalopram"
"71852"	"Fluoxetine 20mg capsules (Accord Healthcare Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"71932"	"Venlasov XL 150mg capsules (Sovereign Medical Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"72124"	"Citalopram 40mg/ml oral drops sugar free (Teva UK Ltd)"	"Citalopram"	"40mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Citalopram"
"72211"	"Duloxetine 60mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"72291"	"Trazodone 100mg/5ml oral solution sugar free"	"Trazodone"	"20mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"72373"	"Citalopram 20mg tablets (Ranbaxy (UK) Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"72626"	"Nortriptyline 10mg/5ml oral solution"	"Nortriptyline"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100/07040251"	"Nortriptyline"
"72773"	"Escitalopram 20mg tablets (Teva UK Ltd)"	"Escitalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"73298"	"Depalta 30mg gastro-resistant capsules (Disposable Medical Equipment Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"73363"	"Doxepin 50mg/5ml oral solution"	"Doxepin"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Doxepin"
"73414"	"Fluoxetine 20mg/5ml oral solution (Pinewood Healthcare)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"73417"	"Citalopram 20mg tablets (PLIVA Pharma Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"73419"	"Trazodone 150mg tablets (A A H Pharmaceuticals Ltd)"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"73540"	"Depalta 60mg gastro-resistant capsules (Disposable Medical Equipment Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"73589"	"Seroxat 20mg tablets (Lexon (UK) Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"73636"	"Trazodone 150mg tablets (Actavis UK Ltd)"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"73639"	"Trazodone 100mg capsules (Actavis UK Ltd)"	"Trazodone"	"100mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"73658"	"Venlafaxine 75mg tablets (Actavis UK Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"73667"	"Venlafaxine 37.5mg tablets (Actavis UK Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"73668"	"Paroxetine 20mg tablets (Almus Pharmaceuticals Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"73759"	"Sertraline 20mg/5ml oral suspension"	"Sertraline"	"4mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"73868"	"Duloxetine 60mg gastro-resistant capsules (Aspire Pharma Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"73962"	"Sertraline 100mg tablets (Wockhardt UK Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"74010"	"Efexor XL 150mg capsules (Necessity Supplies Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"74011"	"Efexor XL 75mg capsules (Dowelhurst Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"74190"	"Duciltia 60mg gastro-resistant capsules (Aristo Pharma Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"74516"	"Venladex XL 225mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"225mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"74557"	"Mirtazapine 15mg tablets (Sigma Pharmaceuticals Plc)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"74586"	"Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"74588"	"Seroxat 20mg tablets (DE Pharmaceuticals)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"74753"	"Citalopram 30mg tablets"	"Citalopram"	NA	"Tablet"	"Oral"	"04030300"	"Citalopram"
"74774"	"Duloxetine 60mg/5ml oral suspension"	"Duloxetine"	"12mg/1ml"	"Oral suspension"	"Oral"	"04030400/06010500"	"Duloxetine"
"74785"	"Cipralex 10mg tablets (DE Pharmaceuticals)"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"74858"	"Cipralex 10mg tablets (Waymade Healthcare Plc)"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"74886"	"Fluoxetine 2mg/5ml oral solution"	"Fluoxetine"	"400microgram/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"74907"	"Duloxetine 30mg gastro-resistant capsules (Creo Pharma Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"74993"	"Escitalopram 10mg tablets (Brown & Burk UK Ltd)"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"75054"	"Paroxetine oral liquid"	"Paroxetine"	NA	"Oral solution"	"Oral"	"04030300"	"Paroxetine"
"75068"	"Fluoxetine 40mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Fluoxetine"	"40mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"75075"	"Citalopram 40mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"75247"	"Fluoxetine 60mg capsules (Advanz Pharma)"	"Fluoxetine"	"60mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"75263"	"Venzip XL 75mg capsules (Milpharm Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"75405"	"Sertraline 50mg/5ml oral solution"	"Sertraline"	"10mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Sertraline"
"75525"	"Venlafaxine 37.5mg tablets (Almus Pharmaceuticals Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"75645"	"Fluoxetine 2.5mg/5ml oral solution"	"Fluoxetine"	"500microgram/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"75688"	"Fluoxetine 20mg capsules (Genesis Pharmaceuticals Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"75697"	"Citalopram 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"75702"	"Citalopram 40mg tablets (Kent Pharmaceuticals Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"75799"	"Fluoxetine 20mg capsules (Almus Pharmaceuticals Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"75848"	"Winfex XL 150mg capsules (Zentiva)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"75894"	"Efexor XL 75mg capsules (Lexon (UK) Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"75943"	"Prozac 20mg/5ml liquid (Necessity Supplies Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"75952"	"Sertraline 50mg tablets (Tillomed Laboratories Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"76187"	"Mirtazapine 30mg orodispersible tablets (Mylan)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"76298"	"Amitriptyline 10mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Amitriptyline"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"76317"	"Dosulepin 25mg capsules (Strides Pharma UK Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"76480"	"Trazodone 150mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"76727"	"Venzip XL 150mg capsules (Milpharm Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"76771"	"Efexor XL 75mg capsules (Waymade Healthcare Plc)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"76772"	"Seroxat 30mg tablets (Mawdsley-Brooks & Company Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"76839"	"Amitriptyline 10mg tablets (Genesis Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"76857"	"Duloxetine 30mg/5ml oral suspension"	"Duloxetine"	"6mg/1ml"	"Oral suspension"	"Oral"	"04030400/06010500"	"Duloxetine"
"76927"	"Amitriptyline 2.5mg/5ml oral solution"	"Amitriptyline"	"500microgram/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"76946"	"Paroxetine 10mg tablets (A A H Pharmaceuticals Ltd)"	"Paroxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"76952"	"Amitriptyline 5mg/5ml oral suspension"	"Amitriptyline"	"1mg/1ml"	"Oral suspension"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"77089"	"Efexor 75mg tablets (Waymade Healthcare Plc)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"77130"	"Dosulepin 10mg/5ml oral solution"	"Dosulepin"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Dosulepin"
"77167"	"Amitriptyline 25mg tablets (Ranbaxy (UK) Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100"	"Amitriptyline"
"77227"	"Clomipramine 50mg capsules (Waymade Healthcare Plc)"	"Clomipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"77229"	"Amitriptyline 10mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Amitriptyline"	"2mg/1ml"	"Oral solution"	"Oral"	"00000000"	"Amitriptyline"
"77377"	"Zispin 30mg tablets (Dowelhurst Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"77381"	"Prozac 20mg capsules (Dowelhurst Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"77385"	"Lustral 50mg tablets (DE Pharmaceuticals)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"77474"	"Trazodone 50mg/5ml oral solution sugar free (Zentiva)"	"Trazodone"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"77488"	"Mirtazapine 30mg tablets (Arrow Generics Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"77497"	"Amitriptyline 75mg/5ml oral solution"	"Amitriptyline"	"15mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"77538"	"Sertraline 50mg/5ml oral suspension (Drug Tariff Special Order)"	"Sertraline"	"10mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"77607"	"Sertraline 10mg/5ml oral suspension"	"Sertraline"	"2mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"77650"	"Seroxat 20mg tablets (Mawdsley-Brooks & Company Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"77707"	"Sertraline 75mg/5ml oral suspension"	"Sertraline"	"15mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"77717"	"Lofepramine 70mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"	"Lofepramine"	"14mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Lofepramine"
